step	accuracy
0	0.5259013175964355
1	0.5598530173301697
2	0.6016800999641418
3	0.6111305356025696
4	0.6354568004608154
5	0.6340566873550415
6	0.6485824584960938
7	0.6576828956604004
8	0.6552327871322632
9	0.6716836094856262
