step	loss
0	0.6886123418807983
1	0.6366074681282043
2	0.6083060503005981
3	0.601502001285553
4	0.592261552810669
5	0.5862957835197449
6	0.5743465423583984
7	0.5717286467552185
8	0.5586169362068176
9	0.5485146641731262
